,City,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH),Date
40,Ponta do Sol,BR,-20.63,-46,70.09,84,48,2.01,1545358389
41,Kamenka,RU,53.19,44.05,14.11,85,88,6.49,1545358389
42,Mahon,IE,51.89,-8.4,51.8,100,75,19.46,1545357600
43,Yellowknife,CA,62.45,-114.38,10.4,85,90,8.05,1545355740
44,Llanes,ES,43.42,-4.75,40.52,87,80,3.09,1545358390
45,Hobart,AU,-42.88,147.33,60.8,63,75,17.22,1545355800
46,Alta Floresta,BR,-9.87,-56.08,74.86,92,56,1.68,1545358390
47,Hermanus,ZA,-34.42,19.24,54.29,94,20,4.09,1545358391
48,Sao Filipe,CV,14.9,-24.5,75.04,94,12,15.28,1545358391
49,Torma,EE,58.82,26.74,15.8,78,90,11.41,1545357000
50,Jamestown,AU,-33.21,138.6,71.89,39,0,14.27,1545358392
52,Saint-Philippe,CA,45.36,-73.48,31.78,62,90,6.93,1545357300
53,Jalu,LY,29.03,21.55,38.05,76,12,2.86,1545358393
55,Niquero,CU,20.04,-77.58,80.84,93,68,17.07,1545358393
56,Bredasdorp,ZA,-34.53,20.04,60.8,93,24,4.7,1545357600
57,Pevek,RU,69.7,170.27,-29.19,100,0,5.77,1545358393
58,Goderich,CA,43.74,-81.71,38.95,94,92,10.58,1545358227
59,Victoria,BN,5.28,115.24,80.91,94,75,2.24,1545354000
60,Puerto Quijarro,BO,-19,-57.72,81.25,70,0,3.53,1545358394
61,Nogliki,RU,51.8,143.14,16.18,94,0,18.12,1545358395
62,Itaparica,BR,-12.89,-38.68,78.8,78,20,10.29,1545357600
63,Wajima,JP,37.4,136.9,48.2,70,20,5.82,1545357600
64,Sao Joao da Barra,BR,-21.64,-41.05,80.75,95,0,19.91,1545358395
65,Esperance,TT,10.24,-61.45,77,83,20,3.36,1545354000
66,Ancud,CL,-41.87,-73.83,50,87,20,4.7,1545357600
68,Livadia,GR,38.44,22.88,39.2,100,40,1.79,1545353400
69,Sisimiut,GL,66.94,-53.67,14.6,91,68,2.8,1545358397
70,Ribeira Grande,PT,38.52,-28.7,62.57,100,92,10.07,1545358397
71,Kruisfontein,ZA,-34,24.73,64.78,86,0,12.3,1545358263
73,Chaplygin,RU,53.24,39.97,12.85,91,92,5.59,1545358397
74,East London,ZA,-33.02,27.91,71.26,100,20,19.13,1545358398
76,Tiksi,RU,71.64,128.87,-38.23,0,8,6.04,1545358398
77,Tasiilaq,GL,65.61,-37.64,28.4,58,0,2.24,1545357000
78,Berdigestyakh,RU,62.1,126.7,-10.02,68,56,3.09,1545358399
79,Albany,US,42.65,-73.75,37.35,89,90,3.24,1545357360
80,Santa Rosa,AR,-36.62,-64.29,68.24,56,48,13.04,1545358401
81,Sibu,MY,2.29,111.83,82.4,78,75,2.24,1545354000
83,Lebu,ET,8.96,38.73,50,66,0,8.05,1545354000
85,Bambous Virieux,MU,-20.34,57.76,78.8,78,75,13.87,1545354000
86,Black River,JM,18.03,-77.85,78.8,69,20,3.36,1545357600
87,Hervey Bay,AU,-25.3,152.85,89.6,59,40,12.75,1545354000
88,Pachperwa,IN,27.52,82.65,53.75,75,0,1.34,1545358402
89,Mont-de-Marsan,FR,43.89,-0.5,42.96,100,0,3.36,1545355800
90,Sinnamary,GF,5.38,-52.96,79.63,95,80,14.88,1545358402
91,Saskylakh,RU,71.97,114.09,-29.41,0,76,2.53,1545358236
92,Maniitsoq,GL,65.42,-52.9,26.8,91,80,4.59,1545358403
94,Ilulissat,GL,69.22,-51.1,21.2,92,92,1.12,1545353400
96,Leeuwarden,NL,53.2,5.79,45.07,93,75,12.75,1545357300
100,Malinyi,TZ,-8.94,36.14,69.64,100,92,1.57,1545358404
101,Port-Gentil,GA,-0.72,8.78,78.1,100,80,4.21,1545358404
103,Dakar,SN,14.69,-17.45,69.8,56,12,11.41,1545355800
105,Warkworth,NZ,-36.4,174.66,66.2,68,92,18.34,1545357600
106,Aksarka,RU,66.56,67.8,22.48,79,48,23.89,1545358406
107,Bemidji,US,47.48,-94.89,14.88,94,90,5.82,1545357300
108,Pekan,MY,3.49,103.39,78.8,94,75,6.93,1545354000
109,Rikitea,PF,-23.12,-134.97,77.6,100,8,12.64,1545358406
110,Moron,VE,10.49,-68.2,70.04,95,88,2.57,1545358407
111,Provideniya,RU,64.42,-173.23,-5.81,63,0,4.47,1545355800
112,Lasa,CY,34.92,32.53,50.61,76,0,9.17,1545355800
113,Namatanai,PG,-3.66,152.44,80.62,100,48,5.1,1545358408
115,Geraldton,CA,49.72,-86.95,14,85,90,9.17,1545354000
116,Bathsheba,BB,13.22,-59.52,84.2,54,75,17.22,1545354000
119,Araouane,ML,18.9,-3.53,51.59,49,0,5.55,1545358408
120,Malinovoye Ozero,RU,51.68,79.77,-10.83,56,24,8.28,1545358409
122,Chokurdakh,RU,70.62,147.9,-24.91,38,76,9.13,1545358409
123,Nabire,ID,-3.36,135.5,77.74,83,76,2.57,1545358409
124,Dunedin,NZ,-45.87,170.5,52.04,100,92,5.32,1545358463
125,Severo-Kurilsk,RU,50.68,156.12,27.16,100,0,17.85,1545358076
127,Katsuura,JP,33.93,134.5,54.45,76,20,3.36,1545357600
128,Saint-Malo,FR,48.65,-2.02,54.81,93,92,21.92,1545357000
130,Upernavik,GL,72.79,-56.15,6.1,100,44,10.85,1545358411
131,Robinson,US,39.01,-87.74,44.26,98,90,5.82,1545357300
133,Alto Araguaia,BR,-17.32,-53.22,80.12,52,92,2.35,1545358411
136,Atbasar,KZ,51.81,68.36,-20.73,30,0,2.98,1545358412
137,Magistralnyy,RU,56.17,107.45,2.23,46,36,7.27,1545358412
138,Hannibal,US,39.71,-91.36,36.12,93,90,13.87,1545357300
139,Smithers,CA,54.78,-127.17,26.6,92,90,13.87,1545354000
142,Grand-Santi,GF,4.27,-54.38,74.41,93,92,2.75,1545358413
143,Kamaishi,JP,39.28,141.86,44.6,48,20,4.7,1545357600
144,Dikson,RU,73.51,80.55,-15.96,100,0,1.07,1545358413
145,Zahirabad,IN,17.68,77.61,68.02,79,0,7.9,1545358414
146,Demidov,RU,55.27,31.52,9.92,82,88,11.07,1545358414
147,Kostomuksha,RU,64.59,30.6,13.97,86,68,2.53,1545358414
148,Muhammadabad,IN,26.03,83.38,55.96,86,0,3.24,1545358414
150,Narsaq,GL,60.91,-46.05,9.34,58,0,5.99,1545358415
151,Touros,BR,-5.2,-35.46,77,88,20,4.7,1545354000
152,Kitgum,UG,3.3,32.88,58.34,71,24,2.68,1545358415
153,Karpogory,RU,64,44.44,6.1,83,48,4.09,1545358415
154,Kishtwar,IN,33.31,75.77,6.5,28,0,1.97,1545358415
155,Gashua,NG,12.87,11.04,57.76,41,0,10.02,1545358416
157,Susangerd,IR,31.56,48.19,59,93,40,2.24,1545357600
159,Auki,NG,12.18,6.51,55.33,53,8,6.38,1545358416
160,Aykhal,RU,65.95,111.51,-37.6,0,24,2.35,1545358417
161,Shadrinsk,RU,56.09,63.63,1.64,71,64,11.86,1545358417
162,Kahului,US,20.89,-156.47,74.64,66,40,14.99,1545357360
163,Saint-Augustin,FR,44.83,-0.61,52.59,71,0,11.41,1545355800
164,Khandyga,RU,62.65,135.58,-27.03,41,64,2.46,1545358418
165,Lucapa,AO,-8.42,20.74,65.27,98,92,4.99,1545358418
167,Ribas do Rio Pardo,BR,-20.45,-53.76,74.54,78,12,3.02,1545358418
168,Togur,RU,58.36,82.83,5.69,75,68,13.09,1545358418
169,Shenjiamen,CN,29.96,122.3,55.78,100,80,12.41,1545358419
170,Honningsvag,NO,70.98,25.97,13.66,100,8,7.61,1545358419
171,Santa Helena,BR,-2.23,-45.3,76.25,89,24,8.39,1545358419
172,Faya,SA,18.39,42.45,51.8,93,20,2.57,1545354000
173,Homer,US,59.64,-151.54,11.5,87,20,4.7,1545357180
174,Mossendjo,CG,-2.95,12.72,68.69,99,92,2.24,1545358420
175,Houma,CN,35.63,111.36,40.57,46,12,3.24,1545358421
176,Severo-Yeniseyskiy,RU,60.37,93.04,-12.85,20,44,7.11,1545358421
178,Ambanja,MG,-13.68,48.45,68.02,100,76,2.53,1545358421
179,Cherskiy,RU,68.75,161.3,-40.75,0,12,3.47,1545358421
180,Hornostayivka,UA,47.01,33.73,30.04,97,80,5.37,1545358422
181,Arlit,NE,18.74,7.39,50.29,62,0,3.24,1545358422
182,Hasaki,JP,35.73,140.83,53.6,100,20,2.24,1545357600
183,Surt,LY,31.21,16.59,53.3,100,68,4.59,1545358422
185,Palu,ID,-0.9,119.87,81.61,51,68,1.74,1545358423
186,Chuy,UY,-33.69,-53.46,69.5,97,92,12.41,1545358423
189,Xuddur,SO,4.12,43.89,71.08,75,0,12.75,1545358425
190,Hambantota,LK,6.12,81.12,77,100,75,3.36,1545354600
191,Sawakin,SD,19.1,37.33,70.49,99,92,12.08,1545358426
192,Khabary,RU,53.63,79.53,-5.7,72,56,13.09,1545358426
193,Axim,GH,4.87,-2.24,80.08,100,8,1.3,1545358426
194,Port Elizabeth,US,39.31,-74.98,53.33,93,90,14.99,1545357360
195,Lady Lake,US,28.92,-81.92,62.29,93,90,11.41,1545357300
196,Martapura,ID,-3.41,114.85,78.8,83,20,2.24,1545354000
197,Seymchan,RU,62.93,152.39,-34.18,0,0,2.24,1545358427
198,Srednekolymsk,RU,67.46,153.71,-34.36,0,36,2.53,1545358428
199,Izhma,RU,65.01,53.91,10.42,68,68,6.11,1545358428
200,Otradnoye,RU,59.77,30.8,10.4,92,75,8.95,1545355800
201,Usinsk,RU,66,57.56,11.68,77,80,13.15,1545358428
202,Nikolskoye,RU,59.7,30.79,10.4,92,75,8.95,1545355800
203,Villa Rica,PE,-10.74,-75.27,67.48,100,80,1.86,1545358429
205,Yar-Sale,RU,66.83,70.83,25.54,90,88,19.19,1545358430
206,Hithadhoo,MV,-0.6,73.08,81.79,100,0,4.03,1545358430
207,Sorong,ID,-0.86,131.25,81.74,100,68,9.24,1545358430
208,Thompson,CA,55.74,-97.86,3.2,84,90,3.36,1545354000
209,Vila Velha,BR,-3.71,-38.6,80.6,83,40,13.87,1545354000
210,Tessalit,ML,20.2,1.01,47.45,63,8,3.31,1545358431
212,Andijan,UZ,40.76,72.37,25.29,100,8,6.71,1545355800
213,Kavieng,PG,-2.57,150.8,82.51,100,64,10.29,1545358032
214,Antofagasta,CL,-23.65,-70.4,62.6,77,20,6.93,1545354000
215,Diego de Almagro,CL,-26.39,-70.05,58.39,84,0,2.24,1545358432
216,Walvis Bay,NA,-22.95,14.51,62.6,82,92,8.05,1545354000
217,Rapid Valley,US,44.06,-103.15,31.05,50,1,3.36,1545357360
218,Grand Gaube,MU,-20.01,57.66,78.8,83,75,11.41,1545357600
219,Bagaces,CR,10.53,-85.25,77,83,0,3.36,1545357600
220,Lorengau,PG,-2.02,147.27,81.07,100,68,8.23,1545358433
221,Mahebourg,MU,-20.41,57.7,78.8,83,75,11.41,1545357600
223,Nagato,JP,34.35,131.14,56.62,93,75,14.99,1545357600
225,Wawa,NG,9.9,4.41,60.1,57,8,7,1545358435
226,Bandarbeyla,SO,9.49,50.81,77.42,100,48,20.54,1545358435
228,Thessalon,CA,46.26,-83.55,38.1,98,90,4.7,1545357300
229,Vostok,RU,46.45,135.83,20.23,66,0,2.8,1545358436
230,Vardo,US,39.62,-77.74,38.07,100,90,8.05,1545357300
231,Qaanaaq,GL,77.48,-69.36,0.52,92,56,2.98,1545358436
232,Mount Isa,AU,-20.73,139.49,105.8,16,36,8.05,1545355800
233,Fortuna,ES,38.18,-1.13,49.1,76,0,4.7,1545355800
234,Ponta Pora,BR,-22.54,-55.73,78.82,63,8,5.26,1545358437
235,Wuwei,CN,37.93,102.64,21.22,56,8,1.79,1545358437
236,Norwich,GB,52.63,1.29,44.91,93,100,8.05,1545357360
237,Mount Gambier,AU,-37.83,140.78,62.6,63,75,17.22,1545354000
238,Airai,TL,-8.93,125.41,86.69,53,0,2.01,1545358438
239,Comodoro Rivadavia,AR,-45.87,-67.48,71.6,40,0,5.82,1545357600
240,Nanortalik,GL,60.14,-45.24,35.12,79,0,22.1,1545358438
241,Saldanha,PT,41.42,-6.55,45.7,99,92,8.01,1545358438
242,Baruun-Urt,MN,46.68,113.28,6.37,71,0,11.03,1545358439
243,Saint George,GR,39.45,22.34,37.4,93,20,1.86,1545353400
244,Bar Harbor,US,44.39,-68.2,26.67,96,75,6.38,1545357180
245,Egvekinot,RU,66.32,-179.17,-37.96,0,12,2.35,1545358439
246,Rome,IT,41.89,12.48,44.87,87,0,5.82,1545357000
247,Kenai,US,60.55,-151.26,16.38,88,90,3.36,1545357360
248,Nishihara,JP,35.74,139.53,51.94,89,20,5.82,1545357600
249,Georgetown,GY,6.8,-58.16,77.65,78,75,9.17,1545354000
250,Oktyabrskiy,RU,55.61,37.97,9.36,84,80,4.47,1545355800
251,Verkhnetulomskiy,RU,68.61,31.8,23,85,75,4.47,1545355800
252,Iqaluit,CA,63.75,-68.52,1.4,77,90,14.99,1545354000
253,Jutai,BR,-1.71,-47.89,75.35,94,32,4.81,1545358442
254,Coihaique,CL,-45.58,-72.07,56.21,58,0,3.36,1545357600
255,Inyonga,TZ,-6.72,32.06,62.26,97,92,2.86,1545358442
257,Isangel,VU,-19.55,169.27,74,100,92,10.92,1545358251
258,Castro,CL,-42.48,-73.76,51.8,81,0,4.7,1545354000
259,Orthez,FR,43.49,-0.77,46.49,81,0,5.82,1545355800
260,Hovd,NO,63.83,10.7,34.74,59,0,17.22,1545357000
262,Haines Junction,CA,60.75,-137.51,-2.5,53,0,2.86,1545358443
263,Belyy Yar,RU,53.6,91.39,-0.41,40,0,17.9,1545355800
264,Menongue,AO,-14.66,17.68,63.16,96,76,4.54,1545358444
265,Russell,AR,-33.01,-68.8,47.77,73,0,2.35,1545358445
266,Biala Podlaska,PL,52.03,23.12,19.6,89,80,9.06,1545358445
267,Cochrane,CL,-47.25,-72.57,44.57,84,0,2.35,1545358445
270,Freeport,BS,26.54,-78.7,77.47,100,68,36.19,1545358446
271,Dingle,PH,11,122.67,78.01,98,88,9.57,1545358446
272,North Bend,US,43.41,-124.22,48.92,83,90,8.05,1545357360
273,Nortelandia,BR,-14.45,-56.8,75.62,88,0,2.46,1545358446
274,Prince Rupert,CA,54.32,-130.32,37.4,64,75,14.99,1545354000
275,Delhi,IN,28.65,77.22,44.6,87,0,3.58,1545355800
276,Sibolga,ID,1.74,98.78,77.83,83,8,2.68,1545358447
277,Kutum,SD,14.2,24.66,44.08,54,0,11.41,1545358447
278,Katherine,AU,-14.47,132.26,93.2,56,0,5.82,1545355800
279,Miri,NG,10.31,9.75,50.47,62,0,4.09,1545358448
280,Praia da Vitoria,PT,38.73,-27.07,63.52,98,92,12.93,1545358448
281,Hays,US,38.88,-99.33,33.98,72,1,10.29,1545357180
282,Iglino,RU,54.82,56.41,-5.81,83,75,2.24,1545355800
283,Guilin,CN,25.28,110.29,55.4,93,90,2.24,1545354000
284,Khawhai,IN,23.52,93.19,62.12,84,0,2.46,1545358449
286,Norman Wells,CA,65.28,-126.83,-9.41,83,90,4.7,1545354000
287,Ayagoz,KZ,47.96,80.43,-16.45,69,0,8.12,1545358449
289,Ucluelet,CA,48.94,-125.55,37.24,86,68,7.61,1545358450
290,Pyapon,MM,16.29,95.68,77.83,95,80,7.38,1545358450
291,Selu,CN,34.67,103.51,17.84,62,88,2.86,1545358450
292,Margate,AU,-43.03,147.26,60.8,63,75,17.22,1545355800
293,Abdulino,RU,53.68,53.66,-0.25,66,76,3.47,1545358450
294,Terrace,CA,54.52,-128.61,32,90,40,6.93,1545354000
295,Hushitai,CN,41.93,123.51,33.8,92,90,4.47,1545355800
296,La Palma,CO,5.36,-74.39,65.77,98,44,1.07,1545358452
297,Constitucion,MX,23.99,-104.67,50,21,5,5.82,1545356820
298,Honiara,SB,-9.43,159.96,80.35,89,92,2.01,1545358452
299,Twin Falls,US,42.57,-114.46,37.47,59,1,10.29,1545357180
300,San Carlos de Bariloche,AR,-41.13,-71.31,59,67,0,11.41,1545357600
301,Guerrero Negro,MX,27.97,-114.04,59.65,66,8,4.54,1545358453
303,Cartagena,ES,37.63,-1,50,76,0,5.82,1545355800
304,Sambava,MG,-14.27,50.17,78.32,100,0,16.62,1545358453
305,Yulara,AU,-25.24,130.99,86,30,12,14.99,1545354000
307,Emba,CY,34.81,32.42,50.58,76,0,9.17,1545355800
310,Krutikha,RU,53.96,81.21,-6.51,75,68,15.1,1545358454
311,Vestmannaeyjar,IS,63.44,-20.27,35.75,99,48,4.81,1545358454
312,Manta,RO,45.1,24.1,16.36,85,64,2.68,1545358455
313,Fort Nelson,CA,58.81,-122.69,-2.21,84,90,3.36,1545354000
314,Mglin,RU,53.06,32.85,20.05,92,92,11.3,1545358455
315,Yerofey Pavlovich,RU,53.97,121.97,-9.39,63,76,3.2,1545358455
316,Kamphaeng Phet,TH,16.47,99.53,85.7,65,0,4.21,1545358456
317,Fairbanks,US,64.84,-147.72,-22.85,75,1,0.85,1545357480
319,Berkovica,BA,44.62,18.43,18.02,78,76,2.3,1545358456
320,Trat,TH,12.25,102.51,78.8,100,20,3.36,1545354000
321,Alofi,NU,-19.06,-169.92,84.2,74,75,13.87,1545357600
322,Ordu,TR,40.98,37.88,50,87,75,10.29,1545357000
323,Koumac,NC,-20.56,164.28,82.1,85,56,8.23,1545358457
325,Sur,OM,22.57,59.53,70.09,100,0,5.55,1545358458
326,Port Alfred,ZA,-33.59,26.89,69.1,90,12,16.28,1545358458
327,Montepuez,MZ,-13.13,39,71.44,98,92,4.7,1545358458
328,Aloleng,PH,16.13,119.78,84.22,90,0,7,1545358458
329,Belmonte,PT,40.36,-7.35,44.98,100,80,2.68,1545358459
330,Lompoc,US,34.64,-120.46,56.25,93,90,9.17,1545356760
332,Dubrovka,RU,59.85,30.93,10.4,92,75,8.95,1545355800
333,Ayorou,NE,14.73,0.92,60.46,42,0,11.59,1545358459
335,Cabo San Lucas,MX,22.89,-109.91,68.95,68,5,11.41,1545356580
336,Gold Coast,AU,-28,153.41,82.4,74,0,20.8,1545355800
337,Snasa,NO,64.25,12.38,23.56,76,0,10.58,1545358460
338,Sayat,TM,38.78,63.88,28.4,92,64,4.7,1545354000
339,Rio Grande,BR,-32.03,-52.1,70.81,97,64,6.22,1545358460
340,Bahia Honda,CU,22.9,-83.16,72.2,91,80,12.15,1545358461
341,Kaitangata,NZ,-46.28,169.85,55.37,94,88,7.11,1545358461
342,Kathmandu,NP,27.71,85.32,48.2,81,75,3.36,1545355200
343,Hami,CN,42.84,93.51,14.47,74,80,4.36,1545358259
344,Chapais,CA,49.78,-74.86,30.2,86,40,6.93,1545354000
347,Chimore,BO,-16.98,-65.13,72.88,92,88,2.35,1545358462
348,Buguruslan,RU,53.66,52.44,3.62,83,80,4.09,1545358462
349,Zhuhai,CN,40.71,112.04,8.6,78,0,6.71,1545354000
350,Brigham City,US,41.51,-112.02,34.54,69,1,6.93,1545357180
351,Abbeville,FR,50.11,1.83,48.11,93,90,13.87,1545355800
352,Mabaruma,GY,8.2,-59.78,78.1,86,92,7.05,1545358463
353,Tarn Taran,IN,31.46,74.93,41,93,0,2.86,1545357540
354,Gazojak,TM,41.19,61.4,18.7,94,8,12.3,1545358463
355,Horadiz,AZ,39.45,47.33,41,100,92,6.93,1545357600
356,Mackenzie,CA,55.34,-123.09,24.8,92,90,12.75,1545356520
357,Ponta Delgada,PT,37.73,-25.67,64.4,100,75,18.34,1545355800
358,Petropavlovka,RU,50.61,105.32,7.9,61,56,9.62,1545358464
359,Ishigaki,JP,24.34,124.16,78.8,61,20,10.29,1545357600
360,Winchester,GB,51.06,-1.31,51.31,100,92,17.22,1545353400
363,Balaipungut,ID,1.11,101.31,80.62,95,36,1.3,1545358465
364,Benghazi,LY,32.12,20.07,61.04,100,20,1.07,1545358465
368,Demerval Lobao,BR,-5.36,-42.68,80.6,83,0,4.7,1545357600
369,Kotma,IN,23.2,81.98,50.83,72,0,2.75,1545358466
370,Antalaha,MG,-14.9,50.28,74.86,90,36,9.73,1545358466
371,Kyren,RU,51.68,102.13,-17.49,64,0,2.24,1545358466
372,Kanigoro,ID,-8.13,112.22,79.67,100,24,4.09,1545358467
374,Sechura,PE,-5.56,-80.82,73.87,81,68,10.25,1545358467
375,Ahipara,NZ,-35.17,173.16,66.49,85,76,16.4,1545358467
376,Nacala,MZ,-14.56,40.69,81.2,99,36,2.75,1545358467
377,Simoes,BR,-7.6,-40.82,79.18,42,92,7.05,1545358468
379,Yurimaguas,PE,-5.9,-76.1,71.84,97,32,2.24,1545358468
380,Moshny,UA,49.52,31.74,27.7,93,92,9.01,1545358468
381,Anadyr,RU,64.73,177.51,-27.41,67,24,13.42,1545357600
382,Nanchong,CN,30.8,106.08,47.59,100,92,2.24,1545358468
383,San Quintin,PH,17.54,120.52,83.23,63,0,3.02,1545358469
384,Puerto Penasco,MX,31.32,-113.53,64.19,95,20,4.25,1545358469
385,Taltal,CL,-25.41,-70.49,56.72,90,0,2.01,1545358469
386,Rodrigues Alves,BR,-7.74,-72.65,73.4,100,0,4.21,1545357600
387,Praya,ID,-8.71,116.27,86,70,40,4.7,1545355800
388,Te Anau,NZ,-45.41,167.72,49.97,95,92,3.69,1545358470
389,Khandbari,NP,27.38,87.21,21.49,28,0,1.45,1545358470
390,Ouro Fino,BR,-22.28,-46.37,64.19,95,12,2.68,1545358471
391,Laguna,MX,27.52,-110.01,66.2,52,5,3.36,1545356400
392,Quatre Cocos,MU,-20.21,57.76,78.8,83,75,11.41,1545357600
393,Bonthe,SL,7.53,-12.5,81.61,78,8,3.87,1545358246
394,Phalaborwa,ZA,-23.95,31.14,69.8,94,92,9.17,1545357600
395,Plettenberg Bay,ZA,-34.05,23.37,65.68,98,0,7.9,1545358250
396,Nantucket,US,41.28,-70.1,43.65,89,90,9.17,1545357180
397,Codrington,AU,-28.95,153.24,94.26,39,20,14.99,1545354000
398,Le Vauclin,MQ,14.55,-60.84,77,69,40,10.29,1545357600
399,Tiznit,MA,29.7,-9.73,52.09,88,0,3.69,1545358472
400,Lins,BR,-21.67,-49.75,76.57,86,12,2.75,1545358473
401,Baykit,RU,61.68,96.39,-22.17,31,32,7.83,1545358473
402,Puerto Narino,CO,-3.77,-70.38,77,100,75,2.24,1545357600
403,Husavik,CA,50.56,-96.99,0.92,61,12,2.98,1545358473
404,Matata,NZ,-37.89,176.76,68.24,96,44,15.55,1545358474
405,Rawson,AR,-43.3,-65.11,62.26,56,0,12.75,1545358474
406,Paamiut,GL,61.99,-49.67,32.42,83,0,1.79,1545358474
407,Najran,SA,17.54,44.22,53.6,54,0,2.68,1545354000
408,Aberdeen,US,45.47,-98.49,24.08,87,1,4.7,1545353580
409,Verkh-Usugli,RU,52.7,115.17,-0.3,69,56,2.86,1545358475
410,Togul,RU,53.47,85.91,-6.73,75,68,13.53,1545358475
411,Zavetnoye,RU,47.12,43.89,23.15,90,88,10.85,1545358475
412,Rocha,UY,-34.48,-54.34,67.39,95,88,7.11,1545358475
413,Krasnyy Luch,RU,55.97,38.97,6.8,84,80,4.47,1545355800
416,Male,UA,50.74,33.7,24.1,93,92,10.74,1545358476
417,Baherden,TM,38.44,57.43,33.05,99,92,5.99,1545358476
418,Barra do Corda,BR,-5.5,-45.25,78.59,73,80,8.12,1545358477
419,Daru,SL,7.99,-10.85,74,73,0,1.3,1545358477
421,Coria,ES,39.98,-6.54,44.57,99,92,2.57,1545358412
422,Kaeo,NZ,-35.1,173.78,69.77,66,92,15.95,1545358477
424,Port Lincoln,AU,-34.72,135.86,63.61,88,12,14.05,1545358251
427,Guarapari,BR,-20.67,-40.5,80.6,78,40,13.87,1545357600
428,Coquimbo,CL,-29.95,-71.34,59,82,0,9.17,1545354000
429,Lavrentiya,RU,65.58,-170.99,2.05,100,76,20.92,1545358478
430,Lulea,SE,65.58,22.15,28.4,86,76,9.17,1545357000
431,Lakes Entrance,AU,-37.88,147.99,63.52,96,92,11.14,1545358478
432,Adrar,DZ,27.87,-0.29,50,46,0,9.17,1545354000
433,Kumo,NG,10.05,11.21,56.99,62,0,5.32,1545358479
434,Hokitika,NZ,-42.72,170.96,56,100,92,1.23,1545358479
435,Nome,US,30.04,-94.42,54.48,44,1,9.17,1545357300
436,Sulangan,PH,11.14,123.72,80.3,100,68,11.41,1545358480
439,Broome,GB,52.47,1.45,44.91,93,92,8.05,1545357360
440,Creston,US,41.06,-94.36,32.32,86,90,13.87,1545357300
441,Aklavik,CA,68.22,-135.01,-11.21,76,90,1.97,1545354960
442,Boulder,US,40.02,-105.27,33.01,41,1,6.93,1545357240
443,Alexandria,US,31.31,-92.44,50.67,73,90,6.93,1545357240
444,Naze,NG,5.43,7.07,69.8,88,0,3.24,1545354000
445,Ranot,TH,7.78,100.32,80.98,100,64,2.68,1545358481
446,Luena,AO,-11.78,19.91,63.65,96,56,3.53,1545358481
447,Tura,IN,25.52,90.21,61.4,94,36,3.53,1545358482
448,La Macarena,CO,2.18,-73.79,69.14,100,88,1.97,1545358482
449,Bhongir,IN,17.52,78.89,60.8,93,20,4.54,1545355800
450,Dickinson,US,46.88,-102.79,21.92,77,1,6.93,1545357360
451,Sistranda,NO,63.73,8.83,35.6,64,0,23.04,1545357000
452,Oistins,BB,13.07,-59.53,84.2,54,75,17.22,1545354000
453,Ostrovnoy,RU,68.05,39.51,7.63,83,24,12.59,1545358483
